"WorkerId","Negative","Neutral","Positive","Unrelated","Avg_Time"
"A104V8NZIQFN2F",0,3,2,1,57.1666666666667
"A110KENBXU7SUJ",1,11,24,56,142.75
"A12R2U6TBB3OOG",1,28,59,236,88.8734567901235
"A14I3K8UN3612X",1,0,1,0,73
"A168B0VAQ1RXKB",0,0,2,0,48
"A171S8E9IFSHH2",0,59,49,68,112.244318181818
"A177EXELDLWTWV",11,106,65,0,407.467032967033
"A18LFH7XW61JO9",4,9,15,16,88.7045454545455
"A1AYL5V5GI9HC1",17,30,106,0,38.0326797385621
"A1B4KC5KP7FH1Z",0,1,0,6,40.8571428571429
"A1C59M3HPCO503",0,9,19,34,850.548387096774
"A1DVKS3R9SLQ1H",20,38,65,3,29.1349206349206
"A1E2Y158WG5FR6",1,2,8,3,69.2857142857143
"A1F1BIPJR11LSR",8,15,62,2,1122.41379310345
"A1FPCIKO68OQ63",25,21,63,11,265.575
"A1G10UPKNT2YEX",0,2,2,0,455.25
"A1GKEEI844CEKI",10,14,60,71,20.0258064516129
"A1GV0UZU0T2ORS",7,9,38,36,667.788888888889
"A1IFIK8J49WBER",0,0,3,0,468.666666666667
"A1J0GU26323WVA",0,0,1,1,48.5
"A1J1QKIGHFLF4M",6,3,2,0,711.272727272727
"A1K8QNLYYYX21W",0,0,2,0,61
"A1NF6PELRKACS9",1,2,11,0,98.4285714285714
"A1NGXQMOBCXDC3",0,1,0,0,67
"A1O0B8163G7W0N",0,1,1,0,2200
"A1PUHCEBSOWETV",0,0,1,0,522
"A1Q4N7ZTNI9IKX",0,0,1,0,299
"A1YSYI926BBOHW",16,35,102,0,293.666666666667
"A24LC97AU3QC7G",1,5,4,16,2069.23076923077
"A25OEVVN0293PO",0,1,0,2,863
"A273DS7TQWR9M1",1,31,23,61,731.922413793103
"A28L1K6D8QUCML",0,3,1,2,31.3333333333333
"A2A4LHPXF2E2GS",0,0,7,4,201.181818181818
"A2BXQ8SZLFQF4D",0,16,5,31,52.4423076923077
"A2CKYCHQGXUI10",1,4,4,1,841.2
"A2EO6IBGQEOMLB",1,0,5,2,94.375
"A2EOOF9D135HQ1",2,6,14,28,51.34
"A2HGRSPR50ENHL",1,4,13,16,817.588235294118
"A2HM35CWB7IIFM",3,27,30,18,83.1025641025641
"A2HWLIJP5OVFD5",7,4,30,0,65.5853658536585
"A2IUT0610X9CV0",6,29,56,177,259.861940298507
"A2JPOXYZM5AJZZ",1,0,0,0,75
"A2KLWSLNAXJUAZ",25,1,84,0,347.818181818182
"A2LCFORIW0NF1S",0,0,0,2,1995.5
"A2NJ7N8INZOB00",0,1,9,0,116.2
"A2OAZPREKF6PQR",2,2,22,1,76.2962962962963
"A2QD9PJUKW7PKK",2,1,12,0,344.533333333333
"A2R0YYUAWNT7UD",1,2,1,0,68
"A2T5CROJ0FWIJY",0,8,14,26,54.7291666666667
"A2TBXASXZIRNNW",25,21,62,96,342.323529411765
"A2U83S62P8SZ6T",0,1,0,0,2417
"A2UO3QJZNC2VOE",8,8,6,5,470.444444444444
"A2V3P1XE33NYC3",0,1,0,0,539
"A2XFO0X6RCS98M",8,13,69,73,298.730061349693
"A2YE7NBCK14VAQ",0,0,3,0,66.6666666666667
"A2YO837C0O1E91",10,7,65,153,39.9276595744681
"A2YYQJ3JWA2KGD",2,16,49,6,901.219178082192
"A2ZBYVQLDUZOV7",6,4,10,1,40.2857142857143
"A32EY0IHHNAW9N",2,6,26,16,47.26
"A34M93NJC830DP",2,4,6,14,105.461538461538
"A34WZL848IKBQU",0,1,0,0,694
"A353KETOEN0W8T",1,3,8,20,1587.15625
"A359ETX78LN74M",1,4,11,37,388.358490566038
"A3696JXTRKL2FI",6,20,41,3,903.128571428571
"A3862RIFFUV141",0,0,1,0,2585
"A38DC3BG1ZCVZ2",1,8,29,17,666.581818181818
"A38DXFI1TZA295",2,1,34,80,159.581196581197
"A394S7JSNUA3TS",1,13,11,13,1038.28947368421
"A3A8P4UR9A0DWQ",0,0,1,0,508
"A3BI0AX5T5GVO3",42,123,92,1,281.34496124031
"A3C6BPE5UJ9EHR",3,7,18,1,2484.1724137931
"A3EYWJCIO1MG9W",5,44,28,4,874.493827160494
"A3F0NFNLOLFJT0",3,11,32,39,455.270588235294
"A3GK90X2QOFR53",1,29,22,44,638.46875
"A3GLUDQZGEJL5G",1,3,17,0,1076.47619047619
"A3JZS32RQUWGJM",1,1,13,8,124.391304347826
"A3L3ZFL1NYFTCF",0,3,6,14,1765.47826086957
"A3MS21UJPMHLK0",7,18,29,18,674.25
"A3N5P5VO81FIJ6",16,6,97,0,51.7394957983193
"A3N7R7P9HP2YB6",0,20,44,7,778.014084507042
"A3O81LHBBI8NPK",3,20,21,10,781.333333333333
"A3QZMGTVA4VO44",10,0,40,0,49.04
"A3R19ZA45J8915",3,9,44,0,1265.14285714286
"A3SKEW89V5S0DI",1,2,5,5,44.4615384615385
"A3UV55HC87DO9C",10,9,21,2,1131.30952380952
"A4T7PYGN1BE2P",0,4,6,2,67.5
"A681XM15AN28F",1,1,6,0,206.625
"A6U2C66WQ7QQN",1,14,24,53,133.586956521739
"A7TP8TTJ88Y0R",0,1,0,1,355.5
"A8TIL9U6YHG5",8,30,119,3,30.8875
"AA9V4NE8SOA4I",3,35,38,78,317.681818181818
"ABMPX2Y2IRBMG",1,12,56,31,730.39
"ACGHHDT7RY1AH",2,7,23,10,423.52380952381
"ADLYO655RWJUI",3,2,11,17,225.606060606061
"AE861G0AY5RGT",0,1,1,0,281
"AEF601SQFOSBL",6,26,14,23,79.0869565217391
"AFDC9A6Z60W2Z",1,17,30,65,663.70796460177
"AFKZZEURTCR8U",1,4,34,16,614.254545454545
"AGNJKSH5LFKXZ",0,1,7,0,21.25
"AHAF93PYUCVQ1",13,15,51,1,306.5375
"AHT8HA3JRWVGV",10,22,25,0,550.666666666667
"AHV4U78TUUDKI",0,0,4,0,67.25
"AJWES6SFIP3AT",6,45,38,146,304.004255319149
"AK81F0NOBFJS3",3,7,29,0,32.8974358974359
"AKSJ3C5O3V9RB",1,3,16,17,2615.2972972973
"AKX5RHHO8BIUX",1,1,5,4,43.1818181818182
"ALQ7GPHT431Q2",1,25,41,21,425.420454545455
"AM0JKZVOEOTMA",0,1,4,0,285.2
"AMC42JMQA8A5U",2,2,11,1,21.5625
"AORHXBTOCXFUK",0,1,0,0,625
"APGX2WZ59OWDN",1,24,49,71,94.0206896551724
"APKZZ03P89DHY",1,24,24,10,766.677966101695
"AQXRHIMQ7UK7O",1,9,5,5,159.8
"ARVXIBUCA8WDZ",1,18,18,16,1107.43396226415
"ASB8T0H7L99RF",0,2,7,0,2216
"ASPRULQHB8B1F",2,20,30,0,497.096153846154
