Subject,Non_Ind,Ind,Missing
polyphenols,1066.0,106.0,802.0
inflammation,421.0,101.0,133.0
protein,510.0,93.0,1003.0
starch,666.0,89.0,1204.0
quality,1208.0,87.0,1972.0
obesity,359.0,81.0,142.0
texture,782.0,77.0,1296.0
oxidative stress,526.0,77.0,292.0
antioxidant,1128.0,76.0,897.0
growth,289.0,76.0,651.0
storage,846.0,74.0,1511.0
anthocyanins,911.0,74.0,704.0
rheology,686.0,71.0,901.0
calcium,213.0,68.0,433.0
dietary fiber,411.0,65.0,599.0
microstructure,582.0,61.0,505.0
temperature,455.0,60.0,819.0
fermentation,615.0,59.0,883.0
mastitis,117.0,58.0,287.0
metabolic syndrome,139.0,57.0,78.0
nutrition,199.0,55.0,250.0
flavor,153.0,54.0,469.0
cholesterol,236.0,54.0,509.0
behavior,121.0,53.0,277.0
antioxidants,650.0,52.0,660.0
