Subject,Non_Ind,Ind,Missing
antioxidant activity,2092.0,48.0,1493.0
quality,1208.0,87.0,1972.0
antioxidant,1128.0,76.0,897.0
polyphenols,1066.0,106.0,802.0
phenolic compounds,1015.0,43.0,592.0
anthocyanins,911.0,74.0,704.0
storage,846.0,74.0,1511.0
antioxidant capacity,795.0,38.0,445.0
texture,782.0,77.0,1296.0
rheology,686.0,71.0,901.0
starch,666.0,89.0,1204.0
antioxidants,650.0,52.0,660.0
phenolics,646.0,47.0,616.0
fermentation,615.0,59.0,883.0
carotenoids,584.0,39.0,609.0
microstructure,582.0,61.0,505.0
physicochemical properties,549.0,32.0,472.0
hplc,526.0,27.0,869.0
oxidative stress,526.0,77.0,292.0
protein,510.0,93.0,1003.0
flavonoids,507.0,39.0,507.0
response surface methodology,489.0,19.0,368.0
fatty acids,486.0,46.0,611.0
stability,485.0,34.0,513.0
volatile compounds,479.0,27.0,480.0
