"Food.Name","Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"TI = (amaranth)","Food.Code1",-0.143100843640682,-1.06813335615811,0.285460361349578,"None",0.333333333333333,231,6
"TI = (barley)","Food.Code2",-0.772239769397166,-9.95600262563292,2.37417507501008e-23,"1%",0.109195402298851,949,174
"TI = (buckwheat)","Food.Code3",-0.268633877481086,-2.55010450383536,0.0107690633062863,"5%",0,375,8
"TI = (bulgur)","Food.Code4",-1.46633706879343,-2.28931801489808,0.0220608817464782,"5%",0,16,0
"TI = (corn OR maize  OR Zea mays)","Food.Code5",-1.33326763024278,-27.7398242514174,2.31173929030384e-169,"1%",0.190839694656489,2899,262
"TI = (einkorn)","Food.Code6",-0.318453731118534,-0.685347569907023,0.4931246204798,"None",0,19,0
"TI = (farro OR emmer)","Food.Code7",-1.43508452528932,-2.88393492835818,0.00392739897982573,"10%",0,26,0
"TI = (fonio)","Food.Code8",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"TI = (khorasan wheat OR oriental wheat OR kamut OR khorasan grain)","Food.Code10",0.693147180559946,0.980258143468548,0.326958710257475,"None",0,13,4
"TI = (kaniwa OR Chenopodium pallidicaule OR cañihua OR canihua OR cañahua OR kaiwa)","Food.Code11",-0.847297860387203,-1.22785125111112,0.219502812283001,"None",0,10,0
"TI = (millet)","Food.Code12",0.0317486983145804,0.281706253334371,0.778168759145505,"None",0,326,8
"TI = (oats or oatmeal)","Food.Code13",0.500299210779,5.45539900159761,4.88629989703025e-08,"1%",0.370967741935484,637,124
"TI = (quinoa)","Food.Code14",-0.272414600320992,-2.04221711996592,0.0411299990113936,"5%",0,237,8
"TI = (rice)","Food.Code15",-0.92644692223818,-25.5051092249354,1.7300814239798e-143,"1%",0.0689655172413793,3942,203
"TI = (rye)","Food.Code16",-0.476476143751355,-3.2839711843036,0.00102355387192274,"10%",0.0444444444444444,246,45
"TI = (sorghum OR milo OR durra OR jowari OR great millet)","Food.Code17",-0.562307579601135,-5.65897201369171,1.52282383053697e-08,"1%",0.106382978723404,489,47
"TI = (spelt OR ""dinkel wheat"" OR ""hulled wheat"" OR ""Triticum aestivum spelta"")","Food.Code18",-1.6376087894008,-3.96438845946718,7.35843429212648e-05,"1%",0,44,1
"TI = (teff OR ""Williams lovegrass"" OR ""annual bunch grass"" OR ""Eragrostis abyssinica"" OR ""Eragrostis tef"")","Food.Code19",-0.810930216216328,-2.33734965097465,0.0194210108261465,"5%",0,39,0
"TI = (triticale OR ""wheat-rye"")","Food.Code20",-1.02961941718116,-3.95256426018012,7.73181562602915e-05,"1%",0,84,8
"TI = (wheat OR Triticum)","Food.Code21",-1.26956366912986,-30.555517264422,4.77656453552139e-205,"1%",0.11830985915493,3767,355
"TI = (""wild rice"" OR ""Indian rice"" OR Zizania OR ""water oats"" OR ""water rice"")","Food.Code22",0.0540672212702748,0.164378964774627,0.86943282200006,"None",0,41,4
"TI=(almond*)","Food.Code23",-0.565026080663672,-4.01015531693015,6.06788201552555e-05,"1%",0.00934579439252336,325,107
"TI=(brazil nut* )","Food.Code24",-0.133531392624523,-0.682622788171616,0.494845230598267,"None",0.5,109,4
"TI=(cashew)","Food.Code25",-0.494696241836106,-2.75704321736022,0.00583266420348868,"10%",0.0769230769230769,145,13
"TI=(chestnut*)","Food.Code26",-0.634498453478439,-4.55900243578692,5.13971752758301e-06,"1%",0,240,12
"TI=(hazel* OR cobnut OR filbert)","Food.Code27",-1.19392246847243,-6.61498499032341,3.71589446496653e-11,"1%",0.125,188,16
"TI=(macadamia)","Food.Code28",-0.916290731874155,-1.89690202923286,0.0578408695931289,"None",0,27,6
"TI=(peanut* OR groundnut* OR ""ground nut*"")","Food.Code29",-0.904123993114273,-11.1847188369038,4.84438453030164e-29,"1%",0.1875,799,48
"TI=(pecan*)","Food.Code30",-0.597837000755621,-2.25231060546282,0.0243026504275758,"5%",0,75,13
"TI=(""pine nut*"" OR ""pinenut*"" OR pinon OR pignon)","Food.Code31",-0.510825623765991,-1.71336122908423,0.0866461043891225,"None",0,48,0
"TI=(pista*)","Food.Code32",-0.569094531889968,-3.52256427716681,0.000427393388386742,"1%",0,200,34
"TI=(walnut* OR juglans)","Food.Code33",-0.101253733705174,-0.810571415790319,0.417611837501307,"None",0,333,76
"TI=(acerola or ""west indian cherry"")","Food.Code34",-0.231801614057324,-0.830190388063073,0.40643114885159,"None",0,53,1
"TI=(apple)","Food.Code35",-1.14743749199384,-21.2770394632799,1.85278222247062e-100,"1%",0.0555555555555556,1992,108
"TI=(apricots)","Food.Code36",-1.02338886743052,-5.95319303351104,2.62960831899693e-09,"1%",0,181,7
"TI=(avocado)","Food.Code37",-0.384411698910333,-2.37203977172097,0.0176901863935105,"5%",0.25,195,36
"TI=(banana)","Food.Code38",-0.895792210325824,-8.86751023769612,7.47995013459451e-19,"1%",0,486,10
"TI=(blackberries)","Food.Code39",0.0289875368732531,0.170245345535054,0.864817191616558,"None",0,144,6
"TI=(blackcurrant)","Food.Code40",0.302280871872934,1.33654642026759,0.18137073842034,"None",0,87,6
"TI=(blueberries)","Food.Code41",-0.0436750635026594,-0.467232177188932,0.640333774627593,"None",0,523,65
