"Food.Name","Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"TI = (amaranth)","Food.Code1",-0.410798454083519,-4.35599865174184,1.32461591191061e-05,"1%",0.333333333333333,474,6
"TI = (barley)","Food.Code2",-1.13316230131765,-22.7102261667349,3.55010813594018e-114,"1%",0.109195402298851,2353,174
"TI = (buckwheat)","Food.Code3",-0.431537348417938,-5.46970463664463,4.50786175689848e-08,"1%",0,681,8
"TI = (bulgur)","Food.Code4",-1.54044504094715,-4.19379328817152,2.74327987805463e-05,"1%",0,51,0
"TI = (corn OR maize  OR Zea mays)","Food.Code5",-1.53173966428674,-46.6698814498717,0,"1%",0.190839694656489,6613,262
"TI = (einkorn)","Food.Code6",-0.944461608840851,-2.99857264780903,0.00271247480220696,"10%",0,50,0
"TI = (farro OR emmer)","Food.Code7",-1.58045037556085,-3.80782879920829,0.00014019227163542,"1%",0,41,0
"TI = (fonio)","Food.Code8",-1.20397280432594,-1.8289659837585,0.0674047042521891,"None",0,13,0
"TI = (khorasan wheat OR oriental wheat OR kamut OR khorasan grain)","Food.Code10",-0.251314428280905,-0.498686608585239,0.618000180063476,"None",0,20,4
"TI = (kaniwa OR Chenopodium pallidicaule OR cañihua OR canihua OR cañahua OR kaiwa)","Food.Code11",-0.451985123743058,-0.934831313082357,0.349875239532312,"None",0,18,0
"TI = (millet)","Food.Code12",-0.274694876924967,-3.64585394196847,0.00026650532154434,"1%",0,726,8
"TI = (oats or oatmeal)","Food.Code13",0.30292838302465,5.32378830637051,1.01628171874969e-07,"1%",0.370967741935484,1388,124
"TI = (quinoa)","Food.Code14",-0.272507274432547,-2.64542088974628,0.00815893625409152,"10%",0,391,8
"TI = (rice)","Food.Code15",-1.13857594390599,-41.1551689243579,0,"1%",0.0689655172413793,7314,203
"TI = (rye)","Food.Code16",-0.902357637570238,-9.59719888329469,8.2146505156326e-22,"1%",0.0444444444444444,596,45
"TI = (sorghum OR milo OR durra OR jowari OR great millet)","Food.Code17",-1.05974009865161,-15.9753177583364,1.89884280121095e-57,"1%",0.106382978723404,1236,47
"TI = (spelt OR ""dinkel wheat"" OR ""hulled wheat"" OR ""Triticum aestivum spelta"")","Food.Code18",-1.64412347042199,-6.20591147600776,5.43807847127408e-10,"1%",0,106,1
"TI = (teff OR ""Williams lovegrass"" OR ""annual bunch grass"" OR ""Eragrostis abyssinica"" OR ""Eragrostis tef"")","Food.Code19",-1.14862270924277,-3.60864468845123,0.000307800831601438,"1%",0,54,0
"TI = (triticale OR ""wheat-rye"")","Food.Code20",-1.58853122761478,-7.79544429743335,6.41822457958794e-15,"1%",0,179,8
"TI = (wheat OR Triticum)","Food.Code21",-1.55016647079742,-54.1102053408546,0,"1%",0.11830985915493,8790,355
"TI = (""wild rice"" OR ""Indian rice"" OR Zizania OR ""water oats"" OR ""water rice"")","Food.Code22",-0.287682072451781,-1.12999274836462,0.258479280122157,"None",0,67,4
"TI=(almond*)","Food.Code23",-0.832613308704275,-8.42732022394705,3.53671038094008e-17,"1%",0.00934579439252336,592,107
"TI=(brazil nut* )","Food.Code24",-0.26053108338583,-1.79446000389359,0.0727397769767943,"None",0.5,197,4
"TI=(cashew)","Food.Code25",-0.65302718677052,-4.99617505501041,5.8478580802435e-07,"1%",0.0769230769230769,273,13
"TI=(chestnut*)","Food.Code26",-0.916290731874149,-8.19555345449453,2.49442740425323e-16,"1%",0,404,12
"TI=(hazel* OR cobnut OR filbert)","Food.Code27",-1.3862943611199,-11.7630977216226,6.047406287359e-32,"1%",0.125,466,16
"TI=(macadamia)","Food.Code28",-1.14862270924277,-3.60864468845123,0.000307800831601442,"1%",0,60,6
"TI=(peanut* OR groundnut* OR ""ground nut*"")","Food.Code29",-1.14678583496692,-20.2782225300731,2.00237271141445e-91,"1%",0.1875,1757,48
"TI=(pecan*)","Food.Code30",-1.09861228866811,-5.03447397223029,4.79162772921547e-07,"1%",0,125,13
"TI=(""pine nut*"" OR ""pinenut*"" OR pinon OR pignon)","Food.Code31",-0.579818495252942,-2.45645482094373,0.0140315444226267,"5%",0,78,0
"TI=(pista*)","Food.Code32",-0.940141947696338,-8.58668683655472,8.95131927978531e-18,"1%",0,447,34
"TI=(walnut* OR juglans)","Food.Code33",-0.263814591045136,-2.88875940418401,0.00386764874352248,"10%",0,563,76
"TI=(acerola or ""west indian cherry"")","Food.Code34",-0.148420005118274,-0.769094248221957,0.441837362466896,"None",0,109,1
"TI=(apple)","Food.Code35",-1.50521054137353,-38.1263220430325,0,"1%",0.0555555555555556,4424,108
"TI=(apricots)","Food.Code36",-1.42138568093116,-11.1945089318182,4.33799102971346e-29,"1%",0,403,7
"TI=(avocado)","Food.Code37",-0.766172315574835,-6.2987817049827,2.99994120511376e-10,"1%",0.25,348,36
"TI=(banana)","Food.Code38",-1.24826857890753,-16.4312642323958,1.14251961327968e-60,"1%",0,1010,10
"TI=(blackberries)","Food.Code39",-0.237849698703905,-1.84838197511369,0.0645471043903819,"None",0,251,6
"TI=(blackcurrant)","Food.Code40",0.0143887374521,0.0848181612830664,0.932405954953238,"None",0,145,6
"TI=(blueberries)","Food.Code41",-0.202026627873287,-2.74312002396994,0.00608584365069844,"10%",0,810,65
"TI=(breadfruit)","Food.Code42",-0.770108221696075,-3.1835017912118,0.00145505213055128,"10%",0,79,0
"TI=(cantaloupe)","Food.Code43",-1.84763992762251,-9.24773651794734,2.29296752919756e-20,"1%",0,219,6
"TI=(carambola)","Food.Code44",-0.965080896043587,-3.28499231965294,0.00101985151635167,"10%",0,58,0
"TI=(cherimoya)","Food.Code45",-2.19722457733622,-3.61040839473541,0.000305715262024563,"1%",0,30,0
"TI=(cherries)","Food.Code46",-1.0540922736999,-13.5247190276655,1.11769873391933e-41,"1%",0,911,52
"TI=(coconut)","Food.Code48",-0.540384426007527,-6.65477314053937,2.83737358873118e-11,"1%",0.0285714285714286,687,35
"TI=(cranberries)","Food.Code49",0.311779624030844,2.62729253042632,0.00860673082374033,"10%",0.0333333333333333,351,60
"TI=(custard apple)","Food.Code50",-0.810930216216328,-1.34946945018049,0.177186226518132,"None",0,13,0
"TI=(date fruit)","Food.Code51",-0.498991166118989,-2.81093435853204,0.00493978626802993,"10%",0,136,1
"TI=(durian)","Food.Code52",-1.47590651980958,-5.32621430836503,1.00280806536278e-07,"1%",0,86,0
"TI=(elderberries)","Food.Code53",-0.130053128248198,-0.569401516092641,0.569083688201456,"None",0.5,79,2
"TI=(feijoa)","Food.Code54",-0.374693449441411,-0.956644441583829,0.338746749372862,"None",0,29,2
"TI=(figs)","Food.Code55",-1.31030845414196,-7.44575275629316,9.63931858328795e-14,"1%",0,199,6
"TI=(gooseberries)","Food.Code56",-0.535518236356362,-2.08360377514427,0.0371962233402287,"5%",1,66,1
