"Food.Name","Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Top100"
"TI = (amaranth)","Food.Code1",-0.150060694575734,-1.12727165937422,0.259627640963601,"None",0.333333333333333,231,2
"TI = (barley)","Food.Code2",-0.857119598685723,-11.909524578114,1.0557750205649e-32,"1%",0.109195402298851,949,19
"TI = (buckwheat)","Food.Code3",-0.273695830477043,-2.62542645138073,0.0086540503087943,"10%",0,375,0
"TI = (bulgur)","Food.Code4",-1.46633706879343,-2.28931801489808,0.0220608817464782,"5%",0,16,0
"TI = (corn OR maize  OR Zea mays)","Food.Code5",-1.32903674585126,-28.7782948109495,4.00981128856274e-182,"1%",0.190839694656489,2899,50
"TI = (einkorn)","Food.Code6",-0.318453731118534,-0.685347569907024,0.4931246204798,"None",0,19,0
"TI = (farro OR emmer)","Food.Code7",-1.43508452528932,-2.88393492835818,0.00392739897982573,"10%",0,26,0
"TI = (fonio)","Food.Code8",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"TI = (khorasan wheat OR oriental wheat OR kamut OR khorasan grain)","Food.Code10",1.20397280432594,1.82896598375849,0.0674047042521893,"None",0,13,0
"TI = (kaniwa OR Chenopodium pallidicaule OR cañihua OR canihua OR cañahua OR kaiwa)","Food.Code11",-0.847297860387204,-1.22785125111112,0.219502812283,"None",0,10,0
"TI = (millet)","Food.Code12",0.00619197024792157,0.0556413995191429,0.955627483524852,"None",0,326,0
"TI = (oats or oatmeal)","Food.Code13",0.532804530484772,6.21601809988136,5.09929243918227e-10,"1%",0.370967741935484,637,46
"TI = (quinoa)","Food.Code14",-0.238411023444997,-1.81833528287302,0.0690129032327421,"None",0,237,0
"TI = (rice)","Food.Code15",-0.914683732153198,-25.8767651773289,1.21640033132704e-147,"1%",0.0689655172413793,3942,14
"TI = (rye)","Food.Code16",-0.450069414344918,-3.42798982357537,0.000608068253030204,"1%",0.0444444444444444,246,2
"TI = (sorghum OR milo OR durra OR jowari OR great millet)","Food.Code17",-0.573556153089419,-6.03319779755447,1.60746457242374e-09,"1%",0.106382978723404,489,5
"TI = (spelt OR ""dinkel wheat"" OR ""hulled wheat"" OR ""Triticum aestivum spelta"")","Food.Code18",-1.66500776358891,-4.03961342344373,5.3539372148115e-05,"1%",0,44,0
"TI = (teff OR ""Williams lovegrass"" OR ""annual bunch grass"" OR ""Eragrostis abyssinica"" OR ""Eragrostis tef"")","Food.Code19",-0.810930216216328,-2.33734965097465,0.0194210108261465,"5%",0,39,0
"TI = (triticale OR ""wheat-rye"")","Food.Code20",-1.16315080980568,-4.54047584055804,5.61274103782629e-06,"1%",0,84,0
"TI = (wheat OR Triticum)","Food.Code21",-1.27306468081277,-31.9857005969142,1.72371894650654e-224,"1%",0.11830985915493,3767,42
"TI = (""wild rice"" OR ""Indian rice"" OR Zizania OR ""water oats"" OR ""water rice"")","Food.Code22",-0.0487901641694322,-0.156158272608404,0.875908266795174,"None",0,41,0
"TI=(almond*)","Food.Code23",-0.46499108742219,-4.07430623331207,4.61517202073509e-05,"1%",0.00934579439252336,325,1
"TI=(brazil nut* )","Food.Code24",-0.131028262406404,-0.676231696007663,0.498893551544151,"None",0.5,109,2
"TI=(cashew)","Food.Code25",-0.365113812584597,-2.15467853709344,0.0311869984774579,"5%",0.0769230769230769,145,1
"TI=(chestnut*)","Food.Code26",-0.674455047547793,-4.94069972362399,7.78427102571055e-07,"1%",0,240,0
"TI=(hazel* OR cobnut OR filbert)","Food.Code27",-1.05605267424931,-6.3021577586728,2.93530168350272e-10,"1%",0.125,188,2
"TI=(macadamia)","Food.Code28",-1.04982212449868,-2.39055013838957,0.0168231519465683,"5%",0,27,0
"TI=(peanut* OR groundnut* OR ""ground nut*"")","Food.Code29",-0.874746976225488,-11.1688509139931,5.79253730549755e-29,"1%",0.1875,799,9
"TI=(pecan*)","Food.Code30",-0.633723760089145,-2.61188512872814,0.00900445037628335,"10%",0,75,0
"TI=(""pine nut*"" OR ""pinenut*"" OR pinon OR pignon)","Food.Code31",-0.510825623765991,-1.71336122908423,0.0866461043891225,"None",0,48,0
"TI=(pista*)","Food.Code32",-0.447312218043665,-3.08548173340278,0.00203222706596763,"10%",0,200,0
"TI=(walnut* OR juglans)","Food.Code33",0.193371392980539,1.75349490133817,0.0795170939468406,"None",0,333,0
"TI=(acerola or ""west indian cherry"")","Food.Code34",-0.265703165733006,-0.958701351116946,0.337709217623719,"None",0,53,0
"TI=(apple)","Food.Code35",-1.13253684445001,-21.6458625512845,6.64881198422622e-104,"1%",0.0555555555555556,1992,6
"TI=(apricots)","Food.Code36",-1.04769219824085,-6.18010353143285,6.40595774645656e-10,"1%",0,181,0
"TI=(avocado)","Food.Code37",-0.519483686509103,-3.41695759854328,0.000633251416181703,"1%",0.25,195,9
"TI=(banana)","Food.Code38",-0.924948794617268,-9.1945127908854,3.7669776927382e-20,"1%",0,486,0
"TI=(blackberries)","Food.Code39",0.0555698511548099,0.33329044819093,0.738915048861791,"None",0,144,0
"TI=(blackcurrant)","Food.Code40",0.328504066972036,1.50289201685045,0.132866891974762,"None",0,87,0
"TI=(blueberries)","Food.Code41",0.10334235150159,1.18010236946698,0.23795950234641,"None",0,523,0
"TI=(breadfruit)","Food.Code42",-0.117783035656383,-0.242395487626312,0.808473730495038,"None",0,17,0
"TI=(cantaloupe)","Food.Code43",-1.69773051957978,-5.62768736915439,1.82641724562499e-08,"1%",0,84,0
"TI=(carambola)","Food.Code44",-0.575364144903562,-1.38087394776855,0.16731772154068,"None",0,25,0
"TI=(cherimoya)","Food.Code45",-2.30258509299405,-2.1954287447244,0.0281328570479118,"5%",0,11,0
"TI=(cherries)","Food.Code46",-0.653688343819396,-6.87204345265785,6.32886685776425e-12,"1%",0,491,0
"TI=(coconut)","Food.Code48",-0.507743957228584,-4.57409590073259,4.78280745229073e-06,"1%",0.0285714285714286,349,1
"TI=(cranberries)","Food.Code49",0.672093771362113,4.63997748736751,3.48447135410459e-06,"1%",0.0333333333333333,215,2
"TI=(custard apple)","Food.Code50",0.405465108108164,0.444164771984225,0.656923459709192,"None",0,5,0
"TI=(date fruit)","Food.Code51",-0.635988766719997,-2.18184293736503,0.0291211264385217,"5%",0,52,0
"TI=(durian)","Food.Code52",-1.26566637333128,-3.70734400109157,0.000209444353680316,"1%",0,50,0
"TI=(elderberries)","Food.Code53",0.496436886313891,1.46450587030608,0.143055780302789,"None",0.5,38,1
"TI=(feijoa)","Food.Code54",-0.182321556793955,-0.301094141447358,0.763342708313776,"None",0,11,0
"TI=(figs)","Food.Code55",-1.09861228866811,-4.46258421247237,8.09770876978817e-06,"1%",0,88,0
"TI=(gooseberries)","Food.Code56",-0.325422400434628,-0.89407618310177,0.371281131358988,"None",1,32,1
"TI=(grapefruit)","Food.Code57",-0.921681580509033,-4.7418910186505,2.11732520285914e-06,"1%",0,130,0
"TI=(grapes)","Food.Code58",-0.868226561090953,-19.4980878570941,1.13963920710649e-84,"1%",0.0838323353293413,2437,14
"TI=(guava)","Food.Code59",-0.621403275701104,-4.04079138569565,5.32711304596307e-05,"1%",0,186,0
"TI=(honeydew melon)","Food.Code60",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"TI=(jackfruit)","Food.Code61",-1.38629436111989,-3.92103257387419,8.81703420382837e-05,"1%",0,50,0
"TI=(java plum)","Food.Code62",13.5660664933678,0.0253376606479203,0.979785634712439,"None",0,1,0
"TI=(jujube fruit)","Food.Code63",0.0425596144187959,0.145853983400703,0.884036658935506,"None",0,47,0
"TI=(kiwifruit)","Food.Code64",-0.506561224979533,-3.87961084827236,0.000104623714563526,"1%",0,250,0
"TI=(kumquat)","Food.Code65",-0.559615787935423,-0.892837929046494,0.37194397128717,"None",0,11,0
"TI=(lemon)","Food.Code66",-0.343333327001158,-2.39239530363991,0.0167388029807617,"5%",0.111111111111111,201,1
"TI=(lime)","Food.Code67",-1.15057202759883,-5.0139579997497,5.33216306259759e-07,"1%",0,104,0
"TI=(longan)","Food.Code68",-0.84308732785086,-4.11042136272117,3.94937765351088e-05,"1%",0,113,0
"TI=(loquat)","Food.Code69",-0.303682413798222,-1.28251869596942,0.199660750781106,"None",0,73,0
"TI=(lychee)","Food.Code70",0.265703165733006,0.958701351116948,0.337709217623718,"None",0,53,0
"TI=(mandarin)","Food.Code71",-1.76978056250929,-7.84551902198656,4.31166480181001e-15,"1%",0,159,0
"TI=(mango)","Food.Code72",-0.82051801737148,-8.99288900432226,2.40815407657575e-19,"1%",0.0294117647058824,567,1
"TI=(mangosteen)","Food.Code73",-0.060624621816435,-0.246145285694018,0.805569768309236,"None",0,66,0
"TI=(mulberries)","Food.Code74",0.67706104280832,5.34534222341274,9.02463794915933e-08,"1%",0,280,0
"TI=(nectarine)","Food.Code75",-1.83827948486295,-4.51753796181005,6.25628142987319e-06,"1%",0,51,0
"TI=(olives)","Food.Code76",-0.762140052046917,-16.2285566950073,3.16821669264865e-59,"1%",0.0326086956521739,2096,3
"TI=(orange)","Food.Code77",-0.744629136395092,-9.98113993556301,1.843366812225e-23,"1%",0.426229508196721,853,26
"TI=(papaya)","Food.Code78",-0.576887374444081,-4.18029532885906,2.91130745193161e-05,"1%",0.181818181818182,230,2
"TI=(passion fruit)","Food.Code79",-0.798507696217771,-3.97874728795856,6.92793300581145e-05,"1%",0.25,119,2
"TI=(peaches)","Food.Code80",-1.39990001317567,-10.7125070349286,8.8920611413756e-27,"1%",0,369,0
"TI=(pear)","Food.Code81",-1.26242487940711,-11.3114012590382,1.15234314731984e-29,"1%",0,469,0
"TI=(persimmon)","Food.Code82",-0.376477571234915,-2.4256268455355,0.0152819742837887,"5%",0,172,0
"TI=(dragon fruit OR pitaya)","Food.Code83",-0.788457360364271,-3.2687715344029,0.00108015480007407,"10%",0,80,0
"TI=(pineapple)","Food.Code84",-0.950192283549841,-6.1452486214115,7.98383608504575e-10,"1%",0.166666666666667,209,1
"TI=(pitanga)","Food.Code85",0.318453731118535,0.685347569907024,0.493124620479799,"None",0,19,0
"TI=(plantain)","Food.Code86",-0.305381649551182,-1.22614486268516,0.220144165905059,"None",0,66,0
"TI=(plums)","Food.Code87",-0.539943022336718,-4.02604655403893,5.6722463573498e-05,"1%",0,239,0
"TI=(pomegranate)","Food.Code88",0.0905140075408287,1.1046593054243,0.269307242991805,"None",0.0338983050847458,600,2
"TI=(prickly pear)","Food.Code89",-0.174353387144778,-0.589021469208076,0.555846871688523,"None",0,46,0
"TI=(prunes)","Food.Code90",-1.62596721438531,-5.14879848706757,2.62160341929255e-07,"1%",0.0833333333333333,75,1
"TI=(pummelo)","Food.Code91",-1.09861228866811,-1.90285230179269,0.057059820364337,"None",0,16,0
"TI=(quince)","Food.Code92",-0.534082485930258,-1.74844864265614,0.0803863712312358,"None",0,47,0
"TI=(raspberries)","Food.Code93",0.368423836427816,2.97075259612794,0.00297070992242761,"10%",0,269,0
"TI=(rhubarb)","Food.Code94",0.336472236621213,0.812657657585165,0.416414364181193,"None",0,24,0
"TI=(rose apple)","Food.Code95",13.5660664933762,0.0506753212956612,0.959584242129121,"None",0,4,0
"TI=(sapodilla)","Food.Code96",-1.79175946922805,-1.65884693056913,0.0971466407595114,"None",0,7,0
"TI=(sapote OR chikoo OR sapota)","Food.Code97",-1.28093384546206,-2.53386829622839,0.0112811122800804,"5%",0,23,0
"TI=(soursop)","Food.Code98",-1.52605630349505,-3.0927189942396,0.00198331838830475,"10%",0.666666666666667,30,2
"TI=(strawberries)","Food.Code99",-1.05516496890919,-12.7227709774344,4.41906363647698e-37,"1%",0.0666666666666667,761,2
"TI=(sugar apple)","Food.Code100",-1.79175946922806,-3.70929450101945,0.000207837567814754,"1%",0,35,0
"TI=(tamarind)","Food.Code101",-0.521296923633285,-1.79991445011533,0.0718741476198373,"None",0,51,0
"TI=(tangerine)","Food.Code102",-0.287682072451781,-0.753328498909746,0.451252537343081,"None",0,28,0
"TI=(watermelon)","Food.Code103",-0.790785650123863,-4.09623913526334,4.19916173272545e-05,"1%",0,125,0
"TI=(bean*)","Food.Code104",-0.4154096182565,-7.67723609379192,1.62557673919738e-14,"1%",0.257575757575758,1465,34
"TI=(lentil*)","Food.Code105",0.281851152140987,1.97336066841218,0.0484544853789297,"5%",0,201,0
"TI=(peas OR chickpeas)","Food.Code106",-0.497551092557295,-6.48296354473699,8.99382355149188e-11,"1%",0.0792079207920792,731,8
"TI=(soy OR tofu)","Food.Code107",-0.187060413916054,-3.92884664538195,8.5354246814186e-05,"1%",0.154411764705882,1826,21
"TI = (dairy OR milk OR yogurt OR cheese)","Food.Code108",-0.804295395777445,-44.4408994849582,0,"1%",0.153416557161629,14942,467
"TI=(amaranth leaves)","Food.Code109",0.51082562376599,0.6994767927207,0.484254111335149,"None",0,9,0
"TI=(arrowroot)","Food.Code110",-1.6094379124341,-2.07777541053737,0.0377300496349948,"5%",0,12,0
"TI=(artichoke)","Food.Code111",-0.135341347869762,-0.821367908545581,0.411436737259082,"None",0.666666666666667,150,2
"TI=(arugula)","Food.Code112",-0.693147180559946,-0.80037742256863,0.423492157921493,"None",0,6,0
"TI=(asparagus)","Food.Code113",-0.265107750413242,-1.49239234563673,0.135596320480817,"None",0,129,0
"TI=(bamboo shoots)","Food.Code114",-0.631271776841858,-2.55016956429307,0.0107670537254556,"5%",0,72,0
"TI=(green beans)","Food.Code115",-0.885038188370052,-3.79685450890948,0.000146543738080533,"1%",0.142857142857143,90,1
"TI=(beets or beetroot)","Food.Code116",-0.72656317747979,-6.05394201055583,1.41343509849074e-09,"1%",0.0869565217391304,319,2
"TI=(belgian endive)","Food.Code117",-13.5660664933747,-0.0253376606478456,0.979785634712498,"None",0,1,0
"TI=(bitter melon )","Food.Code118",1.83827948486295,4.51753796181005,6.25628142987324e-06,"1%",0,51,0
"TI=(bok choy)","Food.Code119",13.5660664933766,0.0438861155869722,0.964995182794693,"None",0,3,0
"TI=(broccoli)","Food.Code120",-0.0551518200750821,-0.550619004490921,0.581894878295356,"None",0.04,401,1
"TI=(cabbage)","Food.Code122",-0.687925236578796,-5.49860589878464,3.82805617105806e-08,"1%",0.5,293,4
"TI=(carrot)","Food.Code123",-0.685179010910778,-7.6808809660505,1.57998240753468e-14,"1%",0.212121212121212,572,7
"TI=(cassava OR yucca root)","Food.Code124",-1.68354588458784,-12.4649806770048,1.15899876162045e-35,"1%",0.210526315789474,419,4
"TI=(cauliflower)","Food.Code125",-1.03609193168678,-2.95223439754937,0.00315483347973056,"10%",0.75,45,3
"TI=(celeriac OR celery root)","Food.Code126",-0.287682072451781,-0.376664249454874,0.706423134097083,"None",0,7,0
"TI=(celery)","Food.Code127",-0.619039208406225,-2.28709646540726,0.0221901931571798,"5%",0.2,61,1
"TI=(chayote)","Food.Code128",-0.693147180559946,-0.800377422568629,0.423492157921493,"None",0,6,0
