"Food.Name","Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Top100"
"TI = (amaranth)","Food.Code1",-0.412532275331256,-4.38757979122955,1.14618950038799e-05,"1%",0.333333333333333,474,2
"TI = (barley)","Food.Code2",-1.14602000964313,-23.6867378019771,4.93966028642753e-124,"1%",0.109195402298851,2353,19
"TI = (buckwheat)","Food.Code3",-0.432460612450171,-5.51334825517421,3.52070597506698e-08,"1%",0,681,0
"TI = (bulgur)","Food.Code4",-1.54044504094715,-4.19379328817152,2.74327987805463e-05,"1%",0,51,0
"TI = (corn OR maize  OR Zea mays)","Food.Code5",-1.52290611095189,-47.2992935274741,0,"1%",0.190839694656489,6613,50
"TI = (einkorn)","Food.Code6",-0.944461608840851,-2.99857264780902,0.00271247480220697,"10%",0,50,0
"TI = (farro OR emmer)","Food.Code7",-1.58045037556085,-3.80782879920829,0.00014019227163542,"1%",0,41,0
"TI = (fonio)","Food.Code8",-1.20397280432594,-1.82896598375849,0.0674047042521892,"None",0,13,0
"TI = (khorasan wheat OR oriental wheat OR kamut OR khorasan grain)","Food.Code10",0.200670695462151,0.446464112427252,0.655262030315414,"None",0,20,0
"TI = (kaniwa OR Chenopodium pallidicaule OR cañihua OR canihua OR cañahua OR kaiwa)","Food.Code11",-0.451985123743058,-0.934831313082356,0.349875239532312,"None",0,18,0
"TI = (millet)","Food.Code12",-0.282862786015829,-3.77298407207249,0.000161306589573587,"1%",0,726,0
"TI = (oats or oatmeal)","Food.Code13",0.327792069789948,5.92430820074752,3.13614799744075e-09,"1%",0.370967741935484,1388,46
"TI = (quinoa)","Food.Code14",-0.251963989849701,-2.4714936199956,0.0134549952107516,"5%",0,391,0
"TI = (rice)","Food.Code15",-1.1258298569602,-41.3665873031349,0,"1%",0.0689655172413793,7314,14
"TI = (rye)","Food.Code16",-0.856936489224977,-9.55234664329444,1.2679120821333e-21,"1%",0.0444444444444444,596,2
"TI = (sorghum OR milo OR durra OR jowari OR great millet)","Food.Code17",-1.04622190146617,-16.1001142698484,2.54633893829087e-58,"1%",0.106382978723404,1236,5
"TI = (spelt OR ""dinkel wheat"" OR ""hulled wheat"" OR ""Triticum aestivum spelta"")","Food.Code18",-1.65542302567592,-6.25425411524046,3.99420205150454e-10,"1%",0,106,0
"TI = (teff OR ""Williams lovegrass"" OR ""annual bunch grass"" OR ""Eragrostis abyssinica"" OR ""Eragrostis tef"")","Food.Code19",-1.14862270924277,-3.60864468845123,0.000307800831601443,"1%",0,54,0
"TI = (triticale OR ""wheat-rye"")","Food.Code20",-1.64333946410978,-8.10112620117829,5.44527267323665e-16,"1%",0,179,0
"TI = (wheat OR Triticum)","Food.Code21",-1.54104665607019,-54.9365466461841,0,"1%",0.11830985915493,8790,42
"TI = (""wild rice"" OR ""Indian rice"" OR Zizania OR ""water oats"" OR ""water rice"")","Food.Code22",-0.331357135954443,-1.33773547956562,0.180982680929296,"None",0,67,0
"TI=(almond*)","Food.Code23",-0.723761816379547,-8.25129505810695,1.56687158350799e-16,"1%",0.00934579439252336,592,1
