"","Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration"
"1","Food.Code1",1.14016129158098,7.36035789446389,1.83417799384682e-13,"1%",0.5
"2","Food.Code2",0.485957557187998,7.07148493943919,1.53284442388241e-12,"1%",0.131034482758621
"3","Food.Code3",1.22232194299413,9.66873073272025,4.09424243661475e-22,"1%",0
"4","Food.Code4",0.133531392624522,0.258007162395373,0.79640137953354,"None",0
"5","Food.Code5",0.359982458486764,9.35694412171614,8.20761670916014e-21,"1%",0.235849056603774
"6","Food.Code6",0.405465108108164,0.628143844468444,0.529909713237582,"None",0
"7","Food.Code7",0.75377180237638,1.758082847739,0.0787334137822336,"None",0
"8","Food.Code8",0,0,1,"None",0
"9","Food.Code10",0.336472236621212,0.574635740461645,0.565537675127629,"None",0
"10","Food.Code11",0.693147180559945,0.980258143468547,0.326958710257475,"None",0
"11","Food.Code12",1.07003891622405,7.78021362798571,7.24021822767107e-15,"1%",0
"12","Food.Code13",0.940007258491462,9.76274217887751,1.62695460485356e-22,"1%",0.398230088495575
"13","Food.Code14",1.33392637560257,8.30715742953006,9.80218627596654e-17,"1%",0
"14","Food.Code15",0.6753792353392,19.8691800018725,7.52215664575514e-88,"1%",0.0933333333333333
"15","Food.Code16",0.736319352425158,4.9929267677128,5.94711119427489e-07,"1%",0.0476190476190476
"16","Food.Code17",0.943048181043696,8.69070786913515,3.60188127800589e-18,"1%",0.142857142857143
"17","Food.Code18",1.01160091167848,2.45021908675896,0.0142769315996596,"5%",0
"18","Food.Code19",0.479573080261886,1.35892867224128,0.174169192147257,"None",0
"19","Food.Code20",0.278713402469021,1.1127075951627,0.265834032488093,"None",0
"20","Food.Code21",0.242347087647864,7.03975411659405,1.92579364104348e-12,"1%",0.147368421052632
"21","Food.Code22",0.200670695462151,0.631395602907485,0.527781890352619,"None",0
"22","Food.Code23",0.416160397224913,3.59727152194196,0.000321572751245506,"1%",0.0909090909090909
"23","Food.Code24",0.881199412062885,3.99029147533444,6.59921461865455e-05,"1%",0.5
"24","Food.Code25",0.781254448070212,3.98869347157607,6.64382050364544e-05,"1%",0.111111111111111
"25","Food.Code26",0.078643127319114,0.594583505844087,0.552121908161779,"None",0
"26","Food.Code27",0.0889474860164963,0.59608827269404,0.551116258114987,"None",0.142857142857143
"27","Food.Code28",0.074107972153722,0.192406057855477,0.847424147573519,"None",0
"28","Food.Code29",0.543355267063644,6.80568388461089,1.00570328012143e-11,"1%",0.310344827586207
"29","Food.Code30",0.405465108108165,0.88832954396845,0.374363512135005,"None",0
"30","Food.Code31",-1.17865499634165,-2.06140778882181,0.0392641524091664,"5%",0
"31","Food.Code32",0.0645385211375714,0.439865002138656,0.660034885094103,"None",0
"32","Food.Code33",0.863368330419814,7.1313544523545,9.93860128774976e-13,"1%",0
"33","Food.Code34",0.810930216216329,2.69893890036099,0.00695609461236265,"10%",0
"34","Food.Code35",0.255894177664885,5.51132612060656,3.56140147141927e-08,"1%",0.0574712643678161
"35","Food.Code36",-0.0139862419747393,-0.0836235194152144,0.933355766640121,"None",0
"36","Food.Code37",0.311055423637089,2.03280303580259,0.0420724263179756,"5%",0.310344827586207
"37","Food.Code38",0.400103164966778,4.23352309577009,2.30058543692055e-05,"1%",0
"38","Food.Code39",0.491407537908889,2.79121098165916,0.00525112310750758,"10%",0
"39","Food.Code40",1.17865499634165,4.60944794515309,4.03739602760793e-06,"1%",0
"40","Food.Code41",1.20854947135335,11.0722260335313,1.71096884592851e-28,"1%",0
"41","Food.Code42",1.54044504094715,2.42128768385147,0.0154656324727978,"5%",0
"42","Food.Code43",0.150282203049338,0.670189546139743,0.502736967075146,"None",0
"43","Food.Code44",0.167054084663166,0.407773967718774,0.683439627231702,"None",0
"44","Food.Code45",1.50407739677627,1.9240222706819,0.0543517919925067,"None",0
"45","Food.Code46",0.673602584486977,6.82495893974632,8.79504671928416e-12,"1%",0
"46","Food.Code48",0.653581580353754,5.70928050686907,1.1345476914273e-08,"1%",0
"47","Food.Code49",0.932164081030447,5.58332095436718,2.35968692515252e-08,"1%",0.0338983050847458
"48","Food.Code50",1.38629436111989,1.23993937131549,0.214997820000257,"None",0
"49","Food.Code51",0.322773392263051,1.12647451472792,0.259964721987387,"None",0
"50","Food.Code52",1.04596855518269,3.24418912847353,0.00117785510193131,"10%",0
"51","Food.Code53",0.693147180559945,1.96051628693709,0.0499354762285443,"5%",0.5
"52","Food.Code54",12.5660630049566,0.128337875634307,0.897881592501603,"None",0
"53","Food.Code55",0.372675285285175,1.59665431954821,0.11034278345651,"None",0
"54","Food.Code56",-0.45953232937844,-1.24624275683179,0.212675286244396,"None",1
"55","Food.Code57",0.781254448070213,3.98869347157607,6.64382050364544e-05,"1%",0
"56","Food.Code58",0.347354403938191,8.09566534615179,5.69521962547761e-16,"1%",0.0792682926829268
"57","Food.Code59",0.364643113587908,2.42596751284158,0.015267636918987,"5%",0
"58","Food.Code61",-0.693147180559945,-2.19192384429341,0.0283850060390406,"5%",0
"59","Food.Code62",-12.5660630049594,-0.0386953254427068,0.969133300376199,"None",0
"60","Food.Code63",-0.133531392624522,-0.44688151398546,0.654960611995136,"None",0
"61","Food.Code64",0.551371718160343,4.09641650444598,4.19594726627324e-05,"1%",0
"62","Food.Code65",0.182321556793955,0.301094141447359,0.763342708313775,"None",0
"63","Food.Code66",0.453667209926043,2.60697179892183,0.00913468833069836,"10%",0.111111111111111
"64","Food.Code67",-0.0392207131532825,-0.198016816592642,0.843031906505456,"None",0
"65","Food.Code68",-0.130053128248197,-0.569401516092636,0.56908368820146,"None",0
"66","Food.Code69",1.09861228866811,4.03655929858213,5.42408206708614e-05,"1%",0
"67","Food.Code70",0.753771802376381,2.48630460704802,0.0129077429773775,"5%",0
"68","Food.Code71",-0.0833816089390512,-0.499855185768044,0.617177049283103,"None",0
"69","Food.Code72",0.670924043775236,7.3627984298286,1.80094214872926e-13,"1%",0.0714285714285714
"70","Food.Code73",-0.0800427076735365,-0.282767221306424,0.777355282865863,"None",0
"71","Food.Code74",1.37732569113713,9.21053275146323,3.24510273049831e-20,"1%",0
"72","Food.Code75",1.26566637333128,3.70734400109157,0.000209444353680316,"1%",0
"73","Food.Code76",0.303682413798216,6.6641626292279,2.6617859144653e-11,"1%",0.0340909090909091
"74","Food.Code77",0.588229240700449,7.47265659891048,7.85917529107048e-14,"1%",0.464285714285714
"75","Food.Code78",0.739978480244044,5.20201997909834,1.97134027061557e-07,"1%",0.1
"76","Food.Code79",-0.262364264467491,-1.2475054026227,0.212212240508291,"None",0.25
"77","Food.Code80",0.660203024840588,5.57099667799732,2.53286158510268e-08,"1%",0
"78","Food.Code81",-0.0431101236537288,-0.464202398267761,0.642502743119824,"None",0
"79","Food.Code82",3.48909435263061e-17,2.22044604925031e-16,1,"None",0
"80","Food.Code83",1.01592057282299,3.98905343190862,6.63374792198958e-05,"1%",0
