"Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"Food.Code1",-0.116724274308149,-0.870050386346048,0.384272869234022,"None",0.5,231,4
"Food.Code2",-0.762405621029991,-9.97414291089091,1.97801800078877e-23,"1%",0.131034482758621,949,145
"Food.Code3",-0.270123760238403,-2.55699612946037,0.0105580392287766,"5%",0,375,7
"Food.Code4",-1.46633706879343,-2.28931801489808,0.0220608817464782,"5%",0,16,0
"Food.Code5",-1.36528117152102,-28.0268724078424,7.64619726640177e-173,"1%",0.235849056603774,2899,212
"Food.Code6",-0.318453731118534,-0.685347569907023,0.4931246204798,"None",0,19,0
"Food.Code7",-1.43508452528932,-2.88393492835818,0.00392739897982574,"10%",0,26,0
"Food.Code8",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"Food.Code10",0.693147180559945,0.980258143468547,0.326958710257475,"None",0,13,4
"Food.Code11",-0.847297860387203,-1.22785125111112,0.219502812283001,"None",0,10,0
"Food.Code12",0.0258078839558716,0.227178429001221,0.820285000367326,"None",0,326,8
"Food.Code13",0.448733088356679,4.90796351164538,9.20269701624009e-07,"1%",0.398230088495575,637,113
"Food.Code14",-0.221161390110218,-1.6559314019542,0.09773571149299,"None",0,237,4
"Food.Code15",-0.951063698629314,-26.0491157287396,1.37674253935394e-149,"1%",0.0933333333333333,3942,150
"Food.Code16",-0.518793793415167,-3.55723574190002,0.000374777804370769,"1%",0.0476190476190476,246,42
"Food.Code17",-0.55431073570573,-5.62268645821314,1.88010460064803e-08,"1%",0.142857142857143,489,35
"Food.Code18",-1.6376087894008,-3.96438845946718,7.35843429212648e-05,"1%",0,44,1
"Food.Code19",-0.693147180559945,-1.96051628693709,0.0499354762285442,"5%",0,39,0
"Food.Code20",-1.04731899428056,-4.02982366664942,5.58187093138806e-05,"1%",0,84,7
"Food.Code21",-1.30478506128428,-31.1598796164085,3.72708322188614e-213,"1%",0.147368421052632,3767,285
"Food.Code22",0.111225635110224,0.333161573895222,0.739012322336342,"None",0,41,4
"Food.Code23",-0.467900579048957,-4.00243810076029,6.2693072965344e-05,"1%",0.0909090909090909,325,11
"Food.Code24",-0.120144311842063,-0.599639285479153,0.548746659417248,"None",0.5,109,4
"Food.Code25",-0.443205436091012,-2.49415499988886,0.0126257397207346,"5%",0.111111111111111,145,9
"Food.Code26",-0.647237479255866,-4.63117470784036,3.63596898760292e-06,"1%",0,240,12
"Food.Code27",-1.16922985588206,-6.53966856881242,6.16553134305293e-11,"1%",0.142857142857143,188,14
"Food.Code28",-1.09861228866811,-2.1274535489752,0.0333824169209921,"5%",0,27,5
"Food.Code29",-0.908855753386624,-11.2770449345613,1.7037324383383e-29,"1%",0.310344827586207,799,29
"Food.Code30",-0.628608659422374,-2.4869536525837,0.0128842183134222,"5%",0,75,4
"Food.Code31",-0.510825623765991,-1.71336122908423,0.0866461043891224,"None",0,48,0
"Food.Code32",-0.635039549752663,-4.04262105681172,5.28570074776415e-05,"1%",0,200,17
"Food.Code33",0.20067069546215,1.785856449709,0.0741225039317374,"None",0,333,9
"Food.Code34",-0.322773392263051,-1.12647451472792,0.259964721987387,"None",0,53,1
"Food.Code35",-1.16047267725845,-21.3372351421514,5.12362952293199e-101,"1%",0.0574712643678161,1992,87
"Food.Code36",-1.02338886743052,-5.95319303351104,2.62960831899689e-09,"1%",0,181,7
"Food.Code37",-0.510825623765992,-3.12815531441404,0.00175907200274051,"10%",0.310344827586207,195,29
"Food.Code38",-0.919271360012294,-8.99739606967323,2.31134462164332e-19,"1%",0,486,8
"Food.Code39",0.014598799421153,0.0854350070891922,0.931915563259089,"None",0,144,5
"Food.Code40",0.302280871872934,1.33654642026759,0.18137073842034,"None",0,87,6
"Food.Code41",0.0926214898803948,1.03132231610389,0.302389696699675,"None",0,523,21
"Food.Code42",0,0,1,"None",0,17,0
"Food.Code43",-1.62470538456489,-5.35432486889544,8.58764493882887e-08,"1%",0,84,5
"Food.Code44",-0.51082562376599,-1.21152934370758,0.225692595516593,"None",0,25,0
"Food.Code45",-2.30258509299405,-2.19542874472441,0.0281328570479118,"5%",0,11,0
"Food.Code46",-0.680243775724038,-6.92218566743071,4.44727820636027e-12,"1%",0,491,20
"Food.Code48",-0.590732175131876,-5.03750279788611,4.71644668895491e-07,"1%",0,349,19
"Food.Code49",0.455062049247536,2.73411202096825,0.00625487605671144,"10%",0.0338983050847458,215,59
"Food.Code50",0.405465108108164,0.444164771984225,0.656923459709192,"None",0,5,0
"Food.Code51",-0.575364144903562,-1.95285066486196,0.0508372930385999,"None",0,52,1
"Food.Code52",-1.21302263984585,-3.53220167820562,0.000412114923050983,"1%",0,50,0
"Food.Code53",0.405465108108165,1.17514952780597,0.239934898752296,"None",0.5,38,2
"Food.Code54",-0.405465108108164,-0.628143844468444,0.529909713237582,"None",0,11,1
"Food.Code55",-1.08261194732167,-4.28784681309843,1.80413438963199e-05,"1%",0,88,4
"Food.Code56",-0.325422400434629,-0.894076183101771,0.371281131358988,"None",1,32,1
"Food.Code57",-0.99542805243288,-4.95972931903494,7.05914719990001e-07,"1%",0,130,1
"Food.Code58",-0.883704450676114,-19.0247218706275,1.06450682335835e-80,"1%",0.0792682926829268,2437,164
"Food.Code59",-0.684778930889428,-4.32486922663215,1.52622374587077e-05,"1%",0,186,6
"Food.Code60",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"Food.Code61",-1.33500106673234,-3.75623532250894,0.000172488511917695,"1%",0,50,1
"Food.Code62",13.5660664933676,0.0253376606479221,0.979785634712437,"None",0,1,0
"Food.Code63",0.0870113769896301,0.294790909508736,0.76815361118012,"None",0,47,1
"Food.Code64",-0.849845632466001,-5.32290732469422,1.0212177950667e-07,"1%",0,250,60
"Food.Code65",-0.405465108108164,-0.628143844468444,0.529909713237582,"None",0,11,1
"Food.Code66",-0.370678992022748,-2.51807008074983,0.0117999840064947,"5%",0.111111111111111,201,9
"Food.Code67",-1.05779029414786,-4.55669503074066,5.19647881823433e-06,"1%",0,104,4
"Food.Code68",-0.860201265223112,-4.14231249529567,3.43821434095776e-05,"1%",0,113,0
"Food.Code69",-0.336472236621213,-1.40756435209742,0.159260109379726,"None",0,73,0
"Food.Code70",0.0833816089390516,0.288591526059012,0.772893980946759,"None",0,53,4
"Food.Code71",-1.71653604799046,-7.5793743455317,3.47225305158441e-14,"1%",0,159,6
"Food.Code72",-0.787925586887233,-8.54247110299612,1.31381561463053e-17,"1%",0.0714285714285714,567,14
"Food.Code73",-0.159064694629687,-0.629277174130547,0.52916761224289,"None",0,66,3
"Food.Code74",0.682218110027758,5.33307351275706,9.65641953598517e-08,"1%",0,280,2
"Food.Code75",-1.83827948486295,-4.51753796181005,6.25628142987319e-06,"1%",0,51,0
