"Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"Food.Code1",-0.185836498901387,-1.63682056742559,0.10166796692601,"None",0.5,474,4
"Food.Code2",-0.79368840978184,-12.5658367944729,3.25413734706317e-36,"1%",0.131034482758621,2353,145
"Food.Code3",-0.347500567662692,-3.93668428628372,8.2615181508849e-05,"1%",0,681,7
"Food.Code4",-1.83258146374831,-3.40301834647739,0.000666458052053658,"1%",0,51,0
"Food.Code5",-1.40935107335971,-34.8536816655512,3.74454561883523e-266,"1%",0.235849056603774,6613,212
"Food.Code6",-0.656779536389072,-1.99422237341966,0.0461277581472014,"5%",0,50,0
"Food.Code7",-1.34992671694902,-3.1827434737701,0.00145886802886518,"10%",0,41,0
"Food.Code8",-1.25276296849537,-1.56246993831585,0.118177322372283,"None",0,13,0
"Food.Code10",0.154150679827258,0.277075683611015,0.78172199280177,"None",0,20,4
"Food.Code11",-0.251314428280906,-0.498686608585241,0.618000180063475,"None",0,18,0
"Food.Code12",-0.164982260717645,-1.81238066975957,0.0699273975547581,"None",0,726,8
"Food.Code13",0.49365782014362,6.53258539081485,6.46439175471834e-11,"1%",0.398230088495575,1388,113
"Food.Code14",-0.170760734392879,-1.51463018417419,0.129866083804161,"None",0,391,4
"Food.Code15",-1.02581167714,-32.5997310069854,4.13737552482779e-233,"1%",0.0933333333333333,7314,150
"Food.Code16",-0.761466424537428,-6.25541449228647,3.96461518320662e-10,"1%",0.0476190476190476,596,42
"Food.Code17",-0.688954302299908,-8.69040111893624,3.61162039406258e-18,"1%",0.142857142857143,1236,35
"Food.Code18",-1.70474809223843,-5.43219688987481,5.56644547082973e-08,"1%",0,106,1
"Food.Code19",-0.931558204004943,-2.84485231111879,0.00444320191108251,"10%",0,54,0
"Food.Code20",-1.44155703979494,-6.08045005922787,1.19845676423153e-09,"1%",0,179,7
"Food.Code21",-1.33914758269417,-39.571061023458,0,"1%",0.147368421052632,8790,285
"Food.Code22",-0.0909717782057265,-0.301407400209547,0.763103851994772,"None",0,67,4
"Food.Code23",-0.615008976250805,-6.12882390157277,8.85310464249252e-10,"1%",0.0909090909090909,592,11
"Food.Code24",-0.194156014440958,-1.20293865921537,0.229000058761657,"None",0.5,197,4
"Food.Code25",-0.561684040999481,-3.72333844469822,0.000196605685283474,"1%",0.111111111111111,273,9
"Food.Code26",-0.725333867055848,-6.15870014559913,7.33444484306657e-10,"1%",0,404,12
"Food.Code27",-1.19961549895699,-8.7352677768437,2.43079600756662e-18,"1%",0.142857142857143,466,14
"Food.Code28",-1.31218638896617,-3.0815857179756,0.00205901183842546,"10%",0,60,5
"Food.Code29",-0.948242331680772,-14.1283194386522,2.54136912463747e-45,"1%",0.310344827586207,1757,29
"Food.Code30",-0.908258560176891,-3.83367879324212,0.000126240966290103,"1%",0,125,4
"Food.Code31",-0.554310735705729,-2.29545213437982,0.0217072265291132,"5%",0,78,0
"Food.Code32",-0.883767540168596,-7.43417322262119,1.05224006638853e-13,"1%",0,447,17
"Food.Code33",0.0310446216819599,0.329603890473366,0.741699282567732,"None",0,563,9
"Food.Code34",-0.0512932943875508,-0.226430583540505,0.820866543321159,"None",0,109,1
"Food.Code35",-1.21592037774704,-26.6760617468058,8.92419503664458e-157,"1%",0.0574712643678161,4424,87
"Food.Code36",-1.15745278869104,-8.20220009336363,2.36027008367198e-16,"1%",0,403,7
"Food.Code37",-0.530628251062168,-3.76597940397981,0.000165897468261316,"1%",0.310344827586207,348,29
"Food.Code38",-1.02102605213806,-12.1305932062735,7.27207339475963e-34,"1%",0,1010,8
"Food.Code39",-0.100083458556982,-0.706811747569156,0.479683473169233,"None",0,251,5
"Food.Code40",0.219053566062684,1.14187073500814,0.253507754703211,"None",0,145,6
"Food.Code41",-0.0121213605323451,-0.1556988356463,0.876270414997285,"None",0,810,21
"Food.Code42",-0.424883193965266,-1.36221751501549,0.17312924985651,"None",0,79,0
"Food.Code43",-1.33123458393686,-6.26518847964249,3.72374725959213e-10,"1%",0,219,5
"Food.Code44",-0.613104472886409,-1.78037267233027,0.0750149910270818,"None",0,58,0
"Food.Code45",-1.46633706879343,-2.28931801489808,0.0220608817464782,"5%",0,30,0
"Food.Code46",-0.722527824953168,-8.75272083509999,2.08269436516801e-18,"1%",0,911,20
"Food.Code48",-0.595738993092613,-6.18139715464663,6.35367472169692e-10,"1%",0,687,19
"Food.Code49",0.301324848855567,2.17922118705556,0.029315240729877,"5%",0.0338983050847458,351,59
"Food.Code50",-0.22314355131421,-0.332642766319523,0.739403957133107,"None",0,13,0
"Food.Code51",-0.244196960512042,-1.25364022688531,0.209972802865787,"None",0,136,1
"Food.Code52",-1.28093384546206,-4.38878862875555,1.13983785389845e-05,"1%",0,86,0
"Food.Code53",-3.34552310968263e-17,-1.27393724618836e-16,1,"None",0.5,79,2
"Food.Code54",-0.367724780125318,-0.848016861121795,0.396428580594144,"None",0,29,1
"Food.Code55",-1.04454506739783,-5.53801886382901,3.05912319098876e-08,"1%",0,199,4
"Food.Code56",-0.559615787935423,-1.9964463022381,0.045885365153321,"5%",1,66,1
"Food.Code57",-0.805264478680648,-5.1420326507819,2.7178186889354e-07,"1%",0,332,1
"Food.Code58",-0.996136411094339,-24.9497118163224,2.15080932583542e-137,"1%",0.0792682926829268,4537,164
"Food.Code59",-0.738609554636703,-5.63455446485256,1.75511487286932e-08,"1%",0,359,6
"Food.Code60",-1.25276296849537,-1.56246993831585,0.118177322372283,"None",0,17,0
"Food.Code61",-1.8067973465926,-5.55387225999772,2.79409700130389e-08,"1%",0,95,1
"Food.Code62",13.5660664933658,0.0438861155871717,0.964995182794534,"None",0,3,0
"Food.Code63",-0.0317486983145802,-0.125982866428485,0.899745487114538,"None",0,67,1
"Food.Code64",-0.794567359005844,-6.22122373186258,4.93292144873436e-10,"1%",0,457,60
