"Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Top100"
"Food.Code1",-0.133531392624523,-0.999257443159513,0.317669995316678,"None",0.5,231,2
"Food.Code2",-0.860342657941623,-11.8946275644668,1.26214803278569e-32,"1%",0.131034482758621,949,19
"Food.Code3",-0.281412459438185,-2.68719865594039,0.0072054085127596,"10%",0,375,0
"Food.Code4",-1.46633706879343,-2.28931801489808,0.0220608817464782,"5%",0,16,0
"Food.Code5",-1.36247836241502,-28.845932899498,5.69843188144284e-183,"1%",0.235849056603774,2899,50
"Food.Code6",-0.318453731118534,-0.685347569907023,0.4931246204798,"None",0,19,0
"Food.Code7",-1.43508452528932,-2.88393492835818,0.00392739897982573,"10%",0,26,0
"Food.Code8",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"Food.Code10",1.09861228866811,1.64791843300216,0.0993694103054876,"None",0,13,0
"Food.Code11",-0.847297860387204,-1.22785125111112,0.219502812283001,"None",0,10,0
"Food.Code12",0,0,1,"None",0,326,0
"Food.Code13",0.511759766757782,5.91955527712909,3.22813329169089e-09,"1%",0.398230088495575,637,45
"Food.Code14",-0.21730127568998,-1.64164739978635,0.100663098428002,"None",0,237,0
"Food.Code15",-0.923724362333934,-25.9081976124801,5.38386724401683e-148,"1%",0.0933333333333333,3942,14
"Food.Code16",-0.46461278061086,-3.51119510941251,0.000446096854730686,"1%",0.0476190476190476,246,2
"Food.Code17",-0.562932540561417,-5.89297879105059,3.79295105979864e-09,"1%",0.142857142857143,489,5
"Food.Code18",-1.66500776358891,-4.03961342344373,5.35393721481148e-05,"1%",0,44,0
"Food.Code19",-0.693147180559946,-1.9605162869371,0.049935476228544,"5%",0,39,0
"Food.Code20",-1.16315080980568,-4.54047584055804,5.61274103782629e-06,"1%",0,84,0
"Food.Code21",-1.29881607621935,-32.1312024971587,1.61697778114627e-226,"1%",0.147368421052632,3767,42
"Food.Code22",0,0,1,"None",0,41,0
"Food.Code23",-0.479182684004733,-4.1592861762166,3.19243716825018e-05,"1%",0.0909090909090909,325,1
"Food.Code24",-0.117783035656384,-0.593745260637582,0.552682505919048,"None",0.5,109,2
"Food.Code25",-0.358397597250178,-2.09415380896263,0.0362462810021646,"5%",0.111111111111111,145,1
"Food.Code26",-0.686877567546349,-5.01099464165808,5.41494226146185e-07,"1%",0,240,0
"Food.Code27",-1.04877991492023,-6.25287000144347,4.02977564075169e-10,"1%",0.142857142857143,188,2
"Food.Code28",-1.09861228866811,-2.33050859763628,0.0197792861444463,"5%",0,27,0
"Food.Code29",-0.882083976472611,-11.1519759383656,7.00336538439246e-29,"1%",0.310344827586207,799,9
"Food.Code30",-0.65232518603969,-2.6448030664705,0.00817384730350344,"10%",0,75,0
"Food.Code31",-0.510825623765991,-1.71336122908423,0.0866461043891225,"None",0,48,0
"Food.Code32",-0.456758402495715,-3.11570211306654,0.00183507545182764,"10%",0,200,0
"Food.Code33",0.201284757501711,1.8162811883991,0.0693272494009017,"None",0,333,0
