"Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Top100"
"Food.Code1",-0.197464536896519,-1.74381760522113,0.0811908995973254,"None",0.5,474,2
"Food.Code2",-0.860201265223096,-14.1486907321713,1.90266693900898e-45,"1%",0.131034482758621,2353,19
"Food.Code3",-0.354409937307877,-4.03900982374237,5.36773173053363e-05,"1%",0,681,0
"Food.Code4",-1.83258146374831,-3.40301834647739,0.000666458052053664,"1%",0,51,0
"Food.Code5",-1.40560358764121,-35.5159594818512,2.7877420912416e-276,"1%",0.235849056603774,6613,50
"Food.Code6",-0.656779536389072,-1.99422237341966,0.0461277581472014,"5%",0,50,0
"Food.Code7",-1.34992671694902,-3.1827434737701,0.00145886802886518,"10%",0,41,0
"Food.Code8",-1.25276296849537,-1.56246993831585,0.118177322372283,"None",0,13,0
"Food.Code10",0.510825623765991,0.989209566830849,0.322560618664413,"None",0,20,0
"Food.Code11",-0.251314428280906,-0.498686608585241,0.618000180063475,"None",0,18,0
"Food.Code12",-0.178610977397418,-1.97702459261645,0.0480388504312495,"5%",0,726,0
"Food.Code13",0.534542150383309,7.35189929704447,1.95410012193934e-13,"1%",0.398230088495575,1388,45
"Food.Code14",-0.168622712435793,-1.50520913834277,0.132270316467139,"None",0,391,0
"Food.Code15",-1.00337198762391,-32.4679268600772,3.02535584529421e-231,"1%",0.0933333333333333,7314,14
"Food.Code16",-0.693147180559942,-6.12171014387478,9.2576319087713e-10,"1%",0.0476190476190476,596,2
"Food.Code17",-0.689123030260218,-8.8727682771371,7.13496963232294e-19,"1%",0.142857142857143,1236,5
"Food.Code18",-1.71978596960297,-5.48641784418639,4.10166047850688e-08,"1%",0,106,0
"Food.Code19",-0.931558204004942,-2.84485231111879,0.00444320191108254,"10%",0,54,0
"Food.Code20",-1.51412773262978,-6.42974780856999,1.27815826124188e-10,"1%",0,179,0
"Food.Code21",-1.33367985193394,-40.3405565183499,0,"1%",0.147368421052632,8790,42
"Food.Code22",-0.167054084663166,-0.57667947553058,0.564155999839104,"None",0,67,0
